2003 13022
2004 13556
2005 14038
2006 14618
2007 15297
2008 15695
2009 15963
2010 16111
2011 16270
2012 16870
2013 17506
2014 18061
2015 19004
2016 19228
2017 19677
2018 20407
2019 21016
2020 20978
2021 21729
2022 22907
2023 24836
